Sub Category,Price,Discount,Rating,Title,Currency,Feature,Product Description,image_url
Bakery & Desserts,$62.99,No Discount,Rated 4 out of 5 stars based on 357 reviews.,"David's Cookies 10"" Rainbow Cake (12 Servings)",$,"10"" Rainbow Cake
Kosher OU-D certified
Serves approximately 12 people
Weight: 7 lbs.
Ships in Cooler with Dry Ice to Maintain Quality & Freshness","A cake the dessert epicure will die for! Five bright and colorful layers of this delightful cake are perfect for celebrating any happy or festive occasion! We’ve decorated this dessert with a lightly flavored vanilla icing to keep this colorful surprise a secret until you cut the first slice.
Perfect for celebrating any happy or festive occasion -for kids and adults alike! Features: 1 - 10 in Rainbow Cake
Kosher OU-D certified
Serves approximately 12 people
Diameter: 10"" each
Weight: 7 lbs.
Ships in Cooler with Dry Ice to Maintain Quality & Freshness
Made in the USA Some of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils Important Handling Instructions:
If not being consumed immediately upon arrival, cakes should be placed in freezer. Allow two hours for cakes to thaw prior to serving. The dessert will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for at least 2 to 3 days.",https://pixabay.com/get/g61356268674793cb51f31f446aa9cce99e31613f66060904fd1ec09414ee627279cab147a33a700488bcae063dd3dc68d058028e32c74c1f9c5da409ff9eceb2_1280.jpg
Bakery & Desserts,$299.99,No Discount,Rated 3 out of 5 stars based on 1 reviews.,The Cake Bake Shop 2 Tier Special Occasion Cake (16-22 Servings),$,"Peony Flower & Plate Not Included Flavor: Lemon Cake with Pearl White Pixie Glitter® Cake Filling: Raspberry Jam with Lemon Curd & Cake Frosting: Lemon Buttercream Bottom Tier: 9” Diameter, 3 1/2” High & Top Tier: 7” Diameter, 3 1/2” High 16-22 Servings","Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders can only be delivered on Wednesday, Thursday and Friday. Minimum delivery time is 5 business days. Peony flower and plate not included. Gwendolyn Rogers' The Cake Bake Shop is famous for handcrafting magnificent and delicious cakes and desserts for her award winning restaurants. Each cake arrives beautifully packaged in her bakery’s signature pink and gold cake box with a pink satin ribbon and is topped with the bakery’s dusting of edible Pixie Glitter®, adding a sparkling finish to every dessert. Gwendolyn's Two Tier Special Occasion Cake is beautiful, delicious and perfect for any special occasion. Ideal for weddings, anniversaries, baby showers and other special celebrations, this two tier cake has two three-layer cakes. The bottom tier is 8"", the top tier is 6"". Both are made of soft lemon cake filled with Swiss meringue lemon buttercream, with each tier featuring tart lemon curd alternating with our homemade raspberry jam. The entire cake is frosted in lemon Swiss meringue buttercream, decorated with soft pink and cream silk ranunculus flowers, and finished with a dusting of Pearl White Pixie Glitter®. Features: Flavor: Lemon Cake
Cake Filling: Raspberry Jam with Lemon Curd
Cake Frosting: Lemon Buttercream
Bottom Tier: 9” Diameter, 3 1/2” High
Top Tier: 7” Diameter, 3 1/2” High
Serves 16-22
Each Cake Arrives With It’s Own Cake Care Card
Allergens: Contains Wheat, Milk, Soy, Egg
Ships Frozen",https://pixabay.com/get/g81b9d9d5c9561db417df206f7b86c986d68e19f30d77470efa2a773fa9b49b1e38043c24f61053d850b82952311bd81922951bdda53afbf6e9a8396e15df1188_1280.jpg
Bakery & Desserts,$54.99,No Discount,Rated 4.7 out of 5 stars based on 273 reviews.,David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough,$,"90 Pieces Frozen Gourmet Chocolate Cookie Dough
Bake and Serve
No Added Preservatives
Kosher","There is nothing like eating a warm just baked cookie right from your own oven. Featuring David’s Cookies world famous Preformed Gourmet Chocolate Chunk Cookie Dough made with pure, fresh ingredients like milk, flour, sugar, eggs and butter. Our preformed Chocolate Chunk cookie dough makes baking cookies fun and easier than ever. It's a simple One-Step process: put the sheet in the oven, bake and you're done! Features:Includes 90 Pieces of 1.5 oz Preformed Gourmet Chocolate Chunk Frozen Cookie DoughApprox. 8.5 pounds of cookie doughNo Added PreservativesBake and ServeShips in Cooler with Dry Ice to Maintain Quality & FreshnessKosher OU-D CertifiedSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils.Important Handling Instructions: Freeze for up to six months in a freezer safe container.Baking Instructions: Preheat oven to 350 degrees F. (Keep dough frozen until ready to use). Place cookies on ungreased baking sheet at least 3” apart. Bake until slightly golden brown, approximately 12-14 minutes. Let Cool.",https://pixabay.com/get/g7108da2379ee71ee44608643f7e15451689b3bd189ae70dd2d982b531076d309fae91a0e01d6005353448d346f22bf891c12f4f6bcc50ed11f73096d6411f422_1280.jpg
Bakery & Desserts,$54.99,No Discount,Rated 4.6 out of 5 stars based on 369 reviews.,"David's Cookies Chocolate Fudge Birthday Cake, 3.75 lbs. Includes Party Pack (16 Servings)",$,"10 inch Chocolate Fudge Birthday Cake
Fudgy Filling and Ganache Frosting
Certified Kosher OU-D
Serves 16","It's not just the birthday girl or boy that will be smiling when they enjoy David's Cookies 10"" Chocolate Birthday Cake. From the moist dark chocolate with a fudgy filling to the candy confetti, it's sugary heaven from top to bottom! Moist and rich, this
Decedent cake is simply irresistible. Chocolate cake with Hand decorated, ""Happy Birthday"" is written in swirls of pastel colors and is playful enough to get any party started. Simple to serve, your cake is ready to eat once thawed. Includes plates, forks, napkins, candles and confetti. A party in a box! Features: 10"" Hand-decorated Chocolate Fudge Birthday Cake
No added preservatives
Fudgy filling and ganache frosting This cake serves. (Approximately) 16 people
Weight: 3.75 lbs..
OU-D certified, the most respected kosher certification
Made in the USA Some of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils Important Handling Instructions:
If not being consumed immediately upon arrival, cakes should be placed in freezer. Allow two hours for cakes to thaw prior to serving. The dessert will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for up to 1 week.",https://pixabay.com/get/g4d36edd76be841d1f1ff31a67888089955cbd6ea768452cda7487b6d00c0d6ffd35fbc9974c7e01cff026f0ed274364d6f9539d80a1865b86a45edf492e07ec3_1280.jpg
Bakery & Desserts,$89.99,No Discount,Rated 4.6 out of 5 stars based on 133 reviews.,Ferrara’s Bakery New York Cheesecake 2-pack,$,8 inch New York Cheesecake 2 pack Each Cake services 10-12 people,"Ferrara's Bakery of Little Italy in New York CityFerrara’s specialty NY cheesecake is smooth and creamy with a classic graham cracker crust. Made with the perfect balance of 100% Philadelphia brand cream cheese and sour cream. Ferrara’s NY cheesecake is creamy without being heavy and melts in your mouth.A little history about the world famous Ferarra bakery. Since 1892 when our great grandfather, Enrico Scoppa and our great grand-uncle, Antonio Ferrara, opera impresario and showman, opened a cafe called Café A. Ferrara in Little Italy section in New York City we have prided ourselves on creating superb Italian specialties We take the extra step of baking two, three and sometimes four times a day, in small batches. Because of the frequency with which we bake, Ferrara acquired our great reputation for quality and freshness. Today, Ferrara is still a family owned business operated by the fifth generation. Тhat’s perhaps the most wonderful thing about Ferrara. Since its beginning in 1892, the spirit, recipes and devotion to quality has changed very little. 8 inch New York Cheesecake 2 pack Each Cake services 10-12 peopleEach cake can be refrigerated for up to 4 days (preferably in an airtight container) or frozen for up to 6 months. Defrost in the refrigerator one day in advance, or at room temperature for 3 hours.PRODUCED IN A FACILITY WHERE NUTS, MILK, EGGS, SOY & FLOUR ARE PRESENTCake plate and Cake stand are not included.",https://pixabay.com/get/g387ff3992a3b9d1ae91f2ec430d6dd5c3330b86925674e8e84f8d41ce696732eb434b35872834e66f2223d0c5144947d963e73fb15444720005f76646a42be67_1280.jpg
Bakery & Desserts,$59.99,No Discount,Rated 4.5 out of 5 stars based on 452 reviews.,"David’s Cookies Variety Cheesecakes, 2-pack (28 Slices Total)",$,"""10"""" Cheesecakes, 2-count
1 Turtle Style, Chocolate, Caramel, Pecan
1 Triple Chocolate
Kosher OU-D Certified
Serves 28","We've done it again with our Turtle Cheesecake made from a recipe straight out of Brooklyn. It's a 10"" cake with clumps of chewy pecans drenched in a coating of caramel on top of a creamy cheesecake. This mix of cream cheese, nuts and caramel is a true taste excursion. For our Triple Chocolate Cheesecake we’ve melted milk chocolate on top of a creamy chocolate cheesecake center and set the whole confection on top of a layer of Devil’s food cake. This exquisite dessert is the perfect choice for any gourmet chocolate lover.Features:2-pack Includes: 1 Chocolate Carmel Pecan, 1 Triple chocolateTrans fat freeContains PecansKosher OU-D certifiedEach cheesecake serves approximately 14 people28 slices total Diameter: 10"" eachWeight: Approximately 4 lbs. eachMade in the USAImportant Handling Instructions:If not being consumed immediately upon arrival, cakes should be placed in freezer. Allow two hours for cakes to thaw prior to serving. The dessert will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for at least 2 to 3 days.",https://pixabay.com/get/g78aff5751593bc23ceda2d61295ecbc82d6df8d92327da1b536f391cbdf030f33f3a410c3405c1807fcc93b1e1a9d48a9b6614b296bdea91a42b0f61fedd4518_1280.jpg
Bakery & Desserts,$89.99,No Discount,No Reviews,"Classic Cake Tiramisu Quarter Sheet Cake (14 Pre-Cut Total Slices, 4.57 Oz. Per Slice, 4 Lbs. Total Box)",$,Quarter Sheet Cake (14 - 4.57 Oz Pre-Cut Slices Total) Layers of Ladyfingers Soaked in Coffee Syrup Filled with Vanilla Mascarpone Cheese Mousse,"Classic Cake is a family-owned artisan bakery and has been creating decadent desserts for over 40 years using only the finest ingredients for our exclusive recipes. While everyone’s palette may differ, our Italian-inspired Tiramisu is a true customer favorite. Layers of Ladyfingers soaked in Coffee Syrup then filled with Vanilla Mascarpone Cheese Mousse and topped with a dusting of rich cocoa powder will whisk you away to Italy without taking flight. Whether you prefer with a cup of Espresso or your favorite after dinner cordial, our Tiramisu is the perfect accompaniment. Includes: Quarter Sheet Cake (14 - 4.57 Oz Pre-Cut Slices Total)
Layers of Ladyfingers Soaked in Coffee Syrup
Filled with Vanilla Mascarpone Cheese Mousse",https://pixabay.com/get/g09e18af9d0f44fa369b4fb20477d3c88670f3086f86f54107d8ff3adfe6a36568b0713857753d7b92242a033a9a93a6e9f4a14347bac85bdb04beb24e2b4208a_1280.jpg
Bakery & Desserts,$49.99,No Discount,Rated 4.2 out of 5 stars based on 85 reviews.,Mary Macleod's Gluten Free Shortbread Cookies Mixed Assortment 8-Pack,$,Gluten Free Chocolate Crunch Shortbread 4-boxes Gluten Free The Classic Shortbread - 4 boxes,"Shortbread is a right, not a privilege. And those who eat gluten-free should be no exception. That’s why the bold bakers at Mary Macleod’s Shortbread stopped at nothing on their quest to create gluten-free shortbread that rivals their original recipes.The gluten-free getting is good with this multipack of eight peaked boxes, each holding six all-butter shortbread cookies that can make any gluten glutton question their life choices. Each multipack contains four boxes of GF Classic Shortbread and four boxes of GF Chocolate Crunch so you can share the love (if you’re feeling generous).Gluten Free The Classic: Gluten-free glory is yours with these light, crispy butter cookies crafted with premium almond and coconut flours. It only took about 117 tries to get the recipe just right, and it was 117% worth it.Gluten Free Chocolate Crunch: A crowning chocolate chunk atop buttery shortbread with almond and coconut flours. It’s our signature cookie, now deliciously gluten free. Warning: they tend to go fast, but we promise we’ll bake more.About Mary's legacy, we continue to bake authentic all-butter shortbread cookies from our family recipes. Our dedicated bakers use top quality ingredients and follow artisan small-batch methods. The result is unforgettably delicious cookies.Includes:Mary Macleod’s Shortbread Multipack of 8 Blue Peaked Boxes in a Gluten-Free Mixed Assortment.Gluten Free Chocolate Crunch Shortbread 4-boxesGluten Free The Classic Shortbread - 4 boxesEach elegant box contains 6 handcrafted shortbread cookies",https://pixabay.com/get/gb1780253c05d4b3f4f4e1ac79b8069b5ac1748249032effee0831f93ad81fe30576d987e682f43129e8ab6374bebb7d3b4b879f64e090a5513af2972276bc366_1280.jpg
Bakery & Desserts,$159.99,No Discount,Rated 1.5 out of 5 stars based on 2 reviews.,"The Cake Bake Shop 8"" Round Pixie Fetti Cake (16-22 Servings)",$,"Almond Flavored Cake with Pixie Fetti® Confetti Almond Flavored Buttercream Topped with Pastel Pixie Fetti® Confetti Dimensions: 9” Diameter, 7” High 16-22 Servings","Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders can only be delivered on Wednesday, Thursday and Friday. Minimum delivery time is 5 business days. Plate not included. Gwendolyn Rogers' The Cake Bake Shop is famous for handcrafting magnificent and delicious cakes and desserts for her award winning restaurants. Each cake arrives beautifully packaged in her bakery’s signature pink and gold cake box with a pink satin ribbon and is topped with the bakery’s dusting of edible Pixie Glitter®, adding a sparkling finish to every dessert. The Cake Bake Shop's Pixie Fetti® Birthday Cake has three layers of fluffy white vanilla bean cake with a hint of almond flavor. Pixie Fetti® is gently folded into each layer and baked. Each layer is filled and frosted with a lightly flavored almond buttercream. The cake is topped with a piped decorative border and the center is filled with Gwendolyn's custom blend of pastel Pixie Fetti® confetti. This fun, celebratory birthday cake is perfect for any party. Features: Flavor: Almond Vanilla Bean Cake
Almond Flavored Cake with Pixie Fetti® Confetti
Cake Filling: Almond Flavored Buttercream
Cake Frosting: Almond Flavored Buttercream
Dimensions: 9” diameter, 7” high
Serves 16-22
Each Cake Arrives With It’s Own Cake Care Card
Allergens: Contains Wheat, Milk, Soy, Egg
Ships Frozen",https://pixabay.com/get/gd211889e6ad087ce8385e536449d58512d7d27ba4d6e27a08dcf2657b10f954f2a58dc95ae170a9dfe59f8974ae76394f4bf24ef1d0bc951a755bfaf25f88ffc_1280.jpg
Bakery & Desserts,$89.99,No Discount,No Reviews,"Classic Cake Chocolate Entremet Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs. Total Box)",$,Quarter Sheet Cake (14 - 4 Oz Pre-Cut Slices Total) Devil’s Food Cake Dark Chocolate Mousse Topped with Dark Chocolate Ganache,"Classic Cake is a family-owned artisan bakery and has been creating decadent desserts for over 40 years using only the finest ingredients for our exclusive recipes. Topping the list of customers favorites is by far our Chocolate Entremet – a deep, rich dessert that combines luscious layers of Devil’s Food Cake and dark chocolate mousse with a rich, dark chocolate ganache. It is a chocolate lover’s dream with caffe latte, French press or yes, regular coffee or big glass of milk. Includes: Quarter Sheet Cake (14 - 4 Oz Pre-Cut Slices Total)
Devil’s Food Cake
Dark Chocolate Mousse Topped with Dark Chocolate Ganache",https://pixabay.com/get/g63cd4840c5285484c32d423c82801dfb8317bcea9b7314f86cd5c9d4c4993488ba12c689c539c2d66d86e1670d9ddcf07bd581f4088063056c538065890d4fc7_1280.jpg
